windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,labels
39.0,1.0,6.0,6.0,6.0,6.0,0.783776947484701,0.5128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8900000000000015,26.46,0.0,0.0,0.0,0.0,3348.073424,1095.577672,184.924008,86400.0,86400.0,0.83856,0.0,120.46511,86400.0,3990.610349,190.294691,1
132.0,1.0,6.0,6.0,6.0,6.0,0.6998428398862386,0.696969696969697,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,29.980000000000004,2.08,0.0,0.0,0.0,13204.121639,1110.500846,1190.582495,86400.0,86400.0,28.276721,0.0,11.1114,86400.0,533.663482,1194.484449,4
36.0,3.0,5.0,5.0,5.0,6.0,0.9182958340544896,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.580000000000002,22.770000000000007,0.0,0.0,0.0,0.0,3266.489595,1013.993843,103.340179,86400.0,86400.0,0.0,3.352861,38.881281,86400.0,3909.02652,108.710862,1
34.0,2.0,6.0,6.0,6.0,6.0,0.8366407419411673,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14,25.210000000000004,0.0,0.0,0.0,0.0,14347.757962,2254.137169,2334.218818,86400.0,86400.0,6.964001,0.0,1154.747723,86400.0,1677.299805,2338.120772,4
88.0,51.0,1.0,1.0,0.0,0.0,1.5410078709714836,0.1022727272727272,3.0,0.0,14.24,12.13,0.0,0.0,0.0,7.980000000000001,0.0,0.0,0.0,0.0,0.0,0.0,77.649383,1784.721874,86400.0,86400.0,51.5938,1784.278586,1777.996342,86400.0,2728.765227,2785.835208,2
203.0,1.0,1.0,1.0,5.0,1.0,1.2309595631140104,0.7980295566502463,0.0,0.0,21.100000000000005,2.04,0.0,0.0,0.0,11.21,0.0,0.0,0.0,0.0,0.0,9.543128,0.711913,1920.421909,86400.0,86400.0,0.0,1919.978621,1913.696377,86400.0,2864.465262,2921.535243,2
47.0,7.0,1.0,1.0,6.0,6.0,0.8366407419411673,0.4042553191489361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46,24.89,0.0,0.0,0.0,0.0,22009.405766,64.413713,22911.556567,86400.0,86400.0,9.267594,0.0,55.806775,86400.0,2873.089341,11407.491365,3
20.0,0.0,5.0,5.0,5.0,6.0,1.006470364560428,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.060000000000002,18.01,1.2800000000000002,0.0,0.0,0.0,3247.955877,995.460125,84.806461,86400.0,86400.0,0.0,0.246649,20.347563,86400.0,3890.492802,90.177144,1
31.0,5.0,1.0,6.0,6.0,6.0,0.9729143147225048,0.3225806451612903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.740000000000002,20.55,1.06,0.0,0.0,0.0,45.6884,39.414269,1144.945375,86400.0,86400.0,10.187063,0.0,14.963541,86400.0,2689.172863,28250.506465,2
53.0,1.0,5.0,5.0,6.0,6.0,0.8812908992306927,0.4150943396226415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45,23.9,0.0,0.0,0.0,0.0,2801.760196,2796.989298,182.639878,86400.0,86400.0,15.296074,0.0,105.625372,86400.0,198.084614,2760.800075,1
65.0,1.0,6.0,6.0,6.0,6.0,0.9182958340544896,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,22.58,0.0,0.0,0.0,0.0,32472.029322,2442.682103,5185.259583,86400.0,86400.0,4.504858,0.0,1357.197193,86400.0,797.342002,1359.267533,4
315.0,0.0,1.0,1.0,6.0,6.0,1.0262332953141866,0.5555555555555556,2.0,0.0,0.0,0.0,1.2900000000000005,0.0,0.0,15.590000000000002,16.19,1.2800000000000002,0.0,0.0,0.0,3696.390908,321.300057,314.554555,86400.0,86400.0,0.055347,0.0,312.811158,86400.0,1092.715326,3655.430787,1
51.0,2.0,6.0,6.0,6.0,6.0,0.9456641189448428,0.2745098039215686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46,21.600000000000005,0.0,0.0,1.2900000000000005,0.0,3672.16052,3563.495669,39695.465496,86400.0,86400.0,12.328394,0.0,674.079013,86400.0,50.700113,685.530432,1
44.0,1.0,6.0,6.0,7.0,7.0,0.8984791593097091,0.75,0.0,0.0,0.0,0.0,1.02,0.0,0.0,8.97,23.360000000000003,1.0,0.0,0.0,0.0,3400.562403,1148.066651,0.961098,86400.0,86400.0,0.058621,2.782808,0.0,86400.0,4043.099328,242.78367,1
80.0,2.0,6.0,6.0,6.0,6.0,0.6500224216483541,0.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.840000000000001,28.51,0.0,0.0,0.0,0.0,481.282473,470.086081,25122.864118,86400.0,86400.0,24.375172,0.0,400.299065,86400.0,2410.457089,403.035395,3
309.0,1.0,6.0,6.0,5.0,6.0,0.9967916319816366,0.2200647249190938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38,15.970000000000002,0.0,0.0,0.0,0.0,2951.72419,911.641916,906.629377,86400.0,86400.0,0.0,1.06044,904.915321,86400.0,5341.6016,10057.319201,1
100.0,5.0,6.0,6.0,5.0,6.0,0.7219280948873623,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6000000000000005,27.75,0.0,0.0,0.0,0.0,7038.800007,7031.610027,7026.323479,86400.0,86400.0,0.0,4.410373,381.74395,86400.0,249.842175,384.157419,1
41.0,0.0,10.0,10.0,5.0,6.0,0.9709505944546686,0.4146341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.880000000000004,20.47,0.0,0.0,0.0,0.0,10292.971362,10286.427891,191.305926,86400.0,86400.0,0.0,0.226531,46.981384,86400.0,3078.599509,48.825439,1
93.0,2.0,6.0,5.0,5.0,6.0,0.9182958340544896,0.6021505376344086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46,22.890000000000004,0.0,0.0,0.0,0.0,5857.911548,5852.96604,5719.648573,86400.0,86400.0,0.0,1.413147,5671.524856,86400.0,242.416758,6158.107575,1
21.0,0.0,6.0,6.0,6.0,6.0,1.456564762130954,0.5714285714285714,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83,17.99,7.530000000000001,0.0,0.0,0.0,27.6797,21.405569,1126.936675,86400.0,86400.0,0.030852,0.0,14.754439,86400.0,2671.164163,28232.497765,2
25.0,0.0,6.0,6.0,0.0,0.0,1.809406821998948,0.24,4.0,0.0,7.420000000000001,11.83,0.0,0.0,0.0,12.62,0.0,2.4800000000000004,0.0,0.0,0.0,0.0,15.078209,28.720072,86400.0,86400.0,0.058757,27.698656,22.088718,86400.0,5164.216669,1706.47119,2
32.0,3.0,1.0,1.0,6.0,6.0,1.3466027520360606,0.4375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46,18.110000000000003,3.78,0.0,0.0,0.0,157.047622,37.666812,36419.607165,86400.0,86400.0,2.970699,0.0,23.377082,86400.0,2998.233664,21568.970624,3
982.0,63.0,1.0,5.0,5.0,0.0,0.8118475207241324,0.5906313645621182,1.0,0.0,2.4700000000000006,3.8000000000000007,0.0,0.0,0.0,28.08,0.0,0.0,0.0,0.0,0.0,970.411959,976.039144,38385.54308,86400.0,86400.0,0.0,4293.758528,38360.750882,86400.0,2498.248332,38388.5775,2
39.0,1.0,6.0,6.0,6.0,6.0,0.783776947484701,0.717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94,26.41,0.0,0.0,0.0,0.0,14489.154154,2395.533361,2475.61501,86400.0,86400.0,2.723127,0.0,1296.143915,86400.0,1818.695997,2479.516964,4
451.0,0.0,1.0,5.0,1.0,1.0,1.5801454700463615,0.9534368070953436,0.0,0.0,10.09,11.760000000000003,0.0,0.0,0.0,12.500000000000002,0.0,0.0,0.0,0.0,0.0,1.839027,0.0,40713.878914,86400.0,86400.0,0.032776,40712.109784,40570.306764,86400.0,908.039563,23696.499308,2
