co2,power1,power2,power4,power5,power6,corridor,Temperature,OUTDOOR_TEMPERATURE,labels
590.0,12.0,0.0,406.0,32.0,32.0,610.0,27.8,22.59,1.0
390.0,13.0,0.0,354.0,0.0,0.0,410.0,26.6,22.59,0.0
390.0,13.0,0.0,353.0,0.0,0.0,390.0,26.0,18.82,0.0
390.0,13.0,0.0,372.0,0.0,0.0,390.0,29.6,28.71,0.0
420.0,13.0,0.0,352.0,0.0,0.0,400.0,24.6,16.94,0.0
390.0,13.0,0.0,370.0,0.0,0.0,390.0,26.4,14.59,0.0
410.0,13.0,0.0,354.0,0.0,0.0,400.0,25.4,16.94,0.0
400.0,13.0,0.0,354.0,0.0,0.0,390.0,26.0,16.94,0.0
390.0,12.0,0.0,361.0,0.0,0.0,450.0,27.6,22.59,0.0
390.0,13.0,0.0,354.0,0.0,0.0,390.0,26.0,22.59,1.0
430.0,13.0,0.0,353.0,0.0,0.0,390.0,25.8,19.76,0.0
470.0,12.0,0.0,357.0,0.0,0.0,400.0,28.0,22.59,0.0
390.0,13.0,0.0,352.0,0.0,0.0,390.0,25.6,18.82,0.0
430.0,13.0,0.0,353.0,0.0,0.0,390.0,25.8,18.82,0.0
390.0,13.0,0.0,354.0,0.0,0.0,390.0,25.2,16.94,0.0
440.0,13.0,0.0,354.0,0.0,0.0,470.0,25.2,22.59,0.0
570.0,12.0,0.0,360.0,0.0,0.0,860.0,27.8,22.59,1.0
390.0,12.0,0.0,354.0,0.0,0.0,390.0,27.4,22.59,0.0
390.0,13.0,0.0,354.0,0.0,0.0,390.0,25.6,16.0,0.0
390.0,13.0,0.0,358.0,0.0,0.0,390.0,26.4,14.59,0.0
450.0,83.0,46.0,354.0,0.0,0.0,680.0,26.2,24.0,1.0
390.0,12.0,0.0,371.0,0.0,0.0,390.0,27.2,22.59,0.0
460.0,44.0,0.0,422.0,26.0,26.0,480.0,29.4,22.59,0.0
400.0,13.0,0.0,361.0,0.0,0.0,410.0,24.8,18.82,0.0
390.0,13.0,0.0,354.0,0.0,0.0,390.0,25.8,21.65,0.0
810.0,70.0,27.0,224.0,23.0,23.0,1080.0,24.4,20.71,1.0
390.0,13.0,0.0,371.0,0.0,0.0,390.0,26.0,18.82,0.0
880.0,13.0,0.0,198.0,21.0,21.0,850.0,23.2,17.88,0.0
420.0,13.0,0.0,356.0,0.0,0.0,390.0,29.0,22.59,0.0
410.0,13.0,0.0,353.0,0.0,0.0,440.0,25.8,22.59,0.0
420.0,13.0,0.0,352.0,0.0,0.0,400.0,24.8,16.94,0.0
470.0,12.0,0.0,357.0,0.0,0.0,400.0,28.0,22.59,0.0
420.0,13.0,0.0,371.0,0.0,0.0,390.0,26.4,16.94,1.0
440.0,13.0,0.0,351.0,0.0,0.0,550.0,25.6,22.59,1.0
410.0,13.0,0.0,354.0,0.0,0.0,430.0,26.0,22.59,0.0
410.0,48.0,37.0,396.0,33.0,33.0,390.0,26.4,26.82,1.0
410.0,13.0,0.0,354.0,0.0,0.0,440.0,25.2,18.82,0.0
390.0,13.0,0.0,353.0,0.0,0.0,390.0,26.0,26.82,0.0
420.0,13.0,0.0,352.0,0.0,0.0,390.0,25.0,16.94,0.0
390.0,13.0,0.0,353.0,0.0,0.0,390.0,26.0,26.82,0.0
520.0,13.0,0.0,494.0,27.0,27.0,640.0,26.8,25.88,1.0
470.0,44.0,0.0,405.0,24.0,24.0,430.0,29.0,22.59,1.0
430.0,13.0,0.0,353.0,0.0,0.0,540.0,25.6,21.65,0.0
390.0,13.0,0.0,353.0,0.0,0.0,390.0,25.4,16.94,0.0
390.0,66.0,28.0,354.0,0.0,0.0,390.0,24.0,16.94,0.0
430.0,69.0,26.0,354.0,0.0,0.0,600.0,25.8,24.94,1.0
390.0,12.0,0.0,359.0,0.0,0.0,390.0,27.0,22.59,0.0
390.0,13.0,0.0,354.0,0.0,0.0,390.0,25.8,21.65,0.0
390.0,13.0,0.0,354.0,0.0,0.0,390.0,25.4,16.94,0.0
800.0,69.0,24.0,201.0,24.0,24.0,1130.0,24.2,20.71,1.0
390.0,13.0,0.0,354.0,0.0,0.0,410.0,26.6,22.59,0.0
390.0,12.0,0.0,360.0,0.0,0.0,390.0,27.4,22.59,0.0
390.0,13.0,0.0,354.0,0.0,0.0,390.0,25.6,16.0,0.0
400.0,13.0,0.0,354.0,0.0,0.0,390.0,26.0,16.94,0.0
460.0,12.0,0.0,373.0,20.0,20.0,510.0,25.0,22.59,0.0
390.0,13.0,0.0,353.0,0.0,0.0,390.0,25.6,16.94,0.0
2550.0,13.0,0.0,353.0,0.0,0.0,390.0,51.0,22.59,0.0
