windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,labels
750.0,1.0,5.0,5.0,1.0,1.0,0.9931136320912464,0.9053333333333332,2.0,0.0,1.02,12.83,0.0,0.0,0.0,20.500000000000004,0.0,0.0,0.0,0.0,0.0,1.721954,0.0,86400.0,86400.0,86400.0,4.931941,86400.0,4269.103614,86400.0,86400.0,86400.0,2
484.0,3.0,6.0,6.0,6.0,6.0,1.4591479170272448,0.8987603305785123,0.0,0.0,0.0,0.0,0.0,11.660000000000002,0.0,17.529999999999998,5.16,0.0,0.0,0.0,0.0,7518.189444,3240.889343,86400.0,17.429364,86400.0,2.665018,0.0,1608.839413,86400.0,7147.851856,86400.0,1
130.0,12.0,7.0,7.0,5.0,7.0,1.456564762130954,0.4384615384615384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,9.890000000000002,17.6,0.0,0.0,0.0,8887.690695,2892.394468,86400.0,152.063623,86400.0,0.0,122.510946,28.065357,86400.0,5107.706095,86400.0,0
784.0,75.0,7.0,7.0,5.0,7.0,0.3533593350214213,0.7678571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,2.1500000000000004,0.0,0.0,0.0,13041.045836,1324.10369,86400.0,1373.602903,86400.0,0.0,1376.695113,123.399918,86400.0,3586.426433,86400.0,0
87.0,2.0,6.0,6.0,5.0,6.0,0.9871377743721864,0.6206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23,19.12,0.0,0.0,0.0,0.0,13972.09864,2255.156494,86400.0,292.040443,86400.0,0.0,1.681687,323.128466,86400.0,331.487563,86400.0,1
103.0,1.0,7.0,5.0,0.0,0.0,0.8812908992306927,0.7766990291262136,0.0,0.0,24.13000000000001,0.0,0.0,0.0,0.0,10.22,0.0,0.0,0.0,0.0,0.0,0.0,200.863031,86400.0,1509.023713,86400.0,1.16233,1652.775608,204.124029,86400.0,9234.897189,86400.0,2
39.0,3.0,5.0,5.0,6.0,6.0,0.6500224216483541,0.4358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,28.90000000000001,0.0,0.0,0.0,0.0,5148.169054,5141.635977,86400.0,39.475757,86400.0,6.252126,0.0,71.287306,86400.0,76.619024,86400.0,1
575.0,0.0,5.0,0.0,7.0,7.0,0.9182958340544896,0.9443478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.19,0.0,11.16,0.0,0.0,0.0,612.96423,609.30003,86400.0,588.225098,86400.0,0.057787,591.94914,0.0,86400.0,2192.699545,86400.0,0
114.0,9.0,6.0,6.0,5.0,7.0,1.825605199016944,0.4561403508771929,1.0,0.0,0.0,0.0,0.0,2.3800000000000003,0.0,11.06,10.000000000000004,10.91,0.0,0.0,0.0,16013.848582,4296.906436,86400.0,104.247316,86400.0,0.0,108.622836,8.36884,86400.0,2373.237505,86400.0,0
713.0,0.0,5.0,7.0,7.0,7.0,0.8812908992306927,0.6718092566619915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.700000000000003,0.0,9.65,0.0,0.0,0.0,2839.593504,6248.270375,86400.0,2749.466795,86400.0,0.035717,3187.229481,0.0,86400.0,2824.305942,86400.0,0
